Source,Type,Target,Weight
ПушкинАС,Directed,Тиртей,1
ПушкинАС,Directed,СаутиР,2
ПушкинАС,Directed,ВордсвортУ,1
ПушкинАС,Directed,ЛафонтенЖ,1
ПушкинАС,Directed,ПелиссонП,1
ПушкинАС,Directed,ГнедичНИ,2
ПушкинАС,Directed,КорнуолБ,1
ПушкинАС,Directed,ДавыдовД,2
ПушкинАС,Directed,ДантеА,1
ПушкинАС,Directed,Катулл,1
ПушкинАС,Directed,Гомер,1
ПушкинАС,Directed,РылеевКФ,1
ПушкинАС,Directed,ПушкинАС,Directed,2
ПушкинАС,Directed,ИрвингВ,1
ПушкинАС,Directed,ДжанниФр,1
ПушкинАС,Directed,ГеснерС,1
ПушкинАС,Directed,Вольтер,6
ПушкинАС,Directed,КюхельбекерВК,5
ПушкинАС,Directed,БобровСС,2
ПушкинАС,Directed,РуссоЖ,1
ПушкинАС,Directed,Оссиан,2
ПушкинАС,Directed,Парни,1
ПушкинАС,Directed,ЖуковскийВА,7
ПушкинАС,Directed,РуссоЖЖ,1
ПушкинАС,Directed,ГрейТ,1
ПушкинАС,Directed,ТомсонД,1
ПушкинАС,Directed,Дельвиг,4
ПушкинАС,Directed,РадищевАН,1
ПушкинАС,Directed,Анакреонт,1
ПушкинАС,Directed,РуссоЖБ,1
ПушкинАС,Directed,РыбушкинМС,1
ПушкинАС,Directed,ПетровВВ,1
ПушкинАС,Directed,КатенинПА,1
ПушкинАС,Directed,БатюшковКН,5
ПушкинАС,Directed,БогдановичИФ,2
ПушкинАС,Directed,ГорчаковДП,2
ПушкинАС,Directed,КрыловИА,1
ПушкинАС,Directed,БарковИС,1
ПушкинАС,Directed,Гораций,1
ПушкинАС,Directed,Шапель,1
ПушкинАС,Directed,ГрессеЖ-Б-Л,1
ПушкинАС,Directed,ФонвизинДИ,2
ПушкинАС,Directed,БунинаАП,2
ПушкинАС,Directed,ЛомоносовМВ,1
ПушкинАС,Directed,БершуЖ,1
ПушкинАС,Directed,СумароковАП,1
ПушкинАС,Directed,ШишковАС,2
ПушкинАС,Directed,БуалоН,1
ПушкинАС,Directed,ШапленЖ,1
ПушкинАС,Directed,Диоген,2
ПушкинАС,Directed,ПучковаЕН,1
ПушкинАС,Directed,Ширинский-ШихматовСА,1
ПушкинАС,Directed,Мосх,1
ПушкинАС,Directed,Мольер,2
ПушкинАС,Directed,ОзеровВА,1
ПушкинАС,Directed,ОлизарГ,1
ПушкинАС,Directed,ТуманскийВИ,1
ПушкинАС,Directed,КозловИИ,1
ЛермонтовМЮ,Directed,Байрон,7
ЛермонтовМЮ,Directed,БестужеваАА,1
ЛермонтовМЮ,Directed,РылеевКФ,1
ЛермонтовМЮ,Directed,ПушкинАС,4
ЛермонтовМЮ,Directed,ТютчевФИ,1
ЛермонтовМЮ,Directed,АстафьевВП,1
ЛермонтовМЮ,Directed,РотруЖ,1
ЛермонтовМЮ,Directed,БарбьеО,1
ЛермонтовМЮ,Directed,ГетеИ,2
ЛермонтовМЮ,Directed,ГейнеГ,3
ЛермонтовМЮ,Directed,ЖуковскийВА,1
ЛермонтовМЮ,Directed,ШекспирУ,1
ЛермонтовМЮ,Directed,ШиллерФ,3
ЛермонтовМЮ,Directed,МурТ,4
ЛермонтовМЮ,Directed,ШеньеА,1
ЛермонтовМЮ,Directed,ПлатенА,1
ЛермонтовМЮ,Directed,ВеневитиновДВ,1
ЛермонтовМЮ,Directed,БашуцкийАП,1
ЛермонтовМЮ,Directed,ШаликовПИ,1
ЛермонтовМЮ,Directed,БаратынскийЕА,1
ЛермонтовМЮ,Directed,РотруЖ,1
ЛермонтовМЮ,Directed,ЯзыковНМ,1
ЛермонтовМЮ,Directed,ОдоевскийАИ,1
ЛермонтовМЮ,Directed,МицкевичАББ,1
ЛермонтовМЮ,Directed,ЦедлинИ,1
ЛермонтовМЮ,Directed,КаррА,1
ЖуковскийВА,Directed,ШиллерФ,8
ЖуковскийВА,Directed,ХвостовДИ,4
ЖуковскийВА,Directed,ФлорианЖ,3
ЖуковскийВА,Directed,ЛафонтенЖ,3
ЖуковскийВА,Directed,ГетеИ,3
ЖуковскийВА,Directed,УландИ,3
ЖуковскийВА,Directed,ТургеневАИ,2
ЖуковскийВА,Directed,РуссоЖ,2
ЖуковскийВА,Directed,ГомбоЖ,2
ЖуковскийВА,Directed,Гораций,2
ЖуковскийВА,Directed,БунинаАП,2
ЖуковскийВА,Directed, ГрузинцевАН,2
ЖуковскийВА,Directed,ДмитриевИИ,2
ЖуковскийВА,Directed,КарамзинНМ,2
ЖуковскийВА,Directed,ПушкинВЛ,2
ЖуковскийВА,Directed,ЮнгЭ,1
ЖуковскийВА,Directed,ГрейТ,1
ЖуковскийВА,Directed,ГемпденД,1
ЖуковскийВА,Directed,ГольдсмитО,1
ЖуковскийВА,Directed,Сапфо,1
ЖуковскийВА,Directed,РодзянкоСЕ,1
ЖуковскийВА,Directed,Сен-ЛамберЖ,1
ЖуковскийВА,Directed,ДелильЖН,1
ЖуковскийВА,Directed,ДрайденД,1
ЖуковскийВА,Directed,Д’Асейя,1
ЖуковскийВА,Directed,БаратонБ,1
ЖуковскийВА,Directed,КоттенД,1
ЖуковскийВА,Directed,ТомпсонЖ,1
ЖуковскийВА,Directed,МильвуаШ,1
ЖуковскийВА,Directed,Мольер,1
ЖуковскийВА,Directed,ЛомоносовМВ,1
ЖуковскийВА,Directed,ПетровВП,1
ЖуковскийВА,Directed,ДержавинГР,1
ЖуковскийВА,Directed,КайсаровАС,1
ЖуковскийВА,Directed,ОзеровНН,1
ЖуковскийВА,Directed,ШишковАС,1
ЖуковскийВА,Directed,Ширинский-ШихматовСА,1
ЖуковскийВА,Directed,ЛьвовФП,1
ЖуковскийВА,Directed,ШатобрианФ,1
ЖуковскийВА,Directed,ФишерГ,1
ЖуковскийВА,Directed,КернерК,1
ЖуковскийВА,Directed,Ф. де Ламот-Фуке,1
ЖуковскийВА,Directed,ШеллингФ,1
ЖуковскийВА,Directed,БайронД,1
ЖуковскийВА,Directed,БаратынскийЕА,1
ЖуковскийВА,Directed,ЛенауН,1
БлокАА,Directed,ПолонскийЯП,6
БлокАА,Directed,БаратынскийЕА,2
БлокАА,Directed,ЛермонтовМЮ,19
БлокАА,Directed,ПушкинАС,24
